Fund Holdings as of,"31/Dec/2024"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"COLO B","COLOPLAST B","Health Care","Equity","4,947,185.81","0.15","4,947,185.81","46,925.00","105.43","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"STMN","STRAUMANN HOLDING AG","Health Care","Equity","4,934,647.33","0.15","4,934,647.33","40,532.00","121.75","Switzerland","SIX Swiss Exchange","CHF"
"VWS","VESTAS WIND SYSTEMS","Industrials","Equity","4,868,241.03","0.15","4,868,241.03","370,144.00","13.15","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"INF","INFORMA PLC","Communication","Equity","4,839,130.71","0.15","4,839,130.71","501,134.00","9.66","United Kingdom","London Stock Exchange","GBP"
"GMAB","GENMAB","Health Care","Equity","4,773,153.65","0.15","4,773,153.65","23,849.00","200.14","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"LOGN","LOGITECH INTERNATIONAL SA","Information Technology","Equity","4,708,842.15","0.14","4,708,842.15","58,887.00","79.96","Switzerland","SIX Swiss Exchange","CHF"
"EVO","EVOLUTION","Consumer Discretionary","Equity","4,655,350.26","0.14","4,655,350.26","62,458.00","74.54","Sweden","Nasdaq Omx Nordic","SEK"
"BEI","BEIERSDORF AG","Consumer Staples","Equity","4,617,388.00","0.14","4,617,388.00","37,237.00","124.00","Germany","Xetra","EUR"
"BAER","JULIUS BAER GRUPPE AG","Financials","Equity","4,602,802.38","0.14","4,602,802.38","73,634.00","62.51","Switzerland","SIX Swiss Exchange","CHF"
"RTO","RENTOKIL INITIAL PLC","Industrials","Equity","4,487,108.13","0.14","4,487,108.13","925,648.00","4.85","United Kingdom","London Stock Exchange","GBP"
"HLMA","HALMA PLC","Information Technology","Equity","4,478,639.26","0.14","4,478,639.26","137,709.00","32.52","United Kingdom","London Stock Exchange","GBP"
"MONC","MONCLER","Consumer Discretionary","Equity","4,390,652.50","0.13","4,390,652.50","86,125.00","50.98","Italy","Borsa Italiana","EUR"
"ALFA","ALFA LAVAL","Industrials","Equity","4,368,733.32","0.13","4,368,733.32","108,052.00","40.43","Sweden","Nasdaq Omx Nordic","SEK"
"NN","NN GROUP NV","Financials","Equity","4,200,731.57","0.13","4,200,731.57","99,851.00","42.07","Netherlands","Euronext Amsterdam","EUR"
"SCHP","SCHINDLER HOLDING PAR AG","Industrials","Equity","4,092,919.94","0.13","4,092,919.94","15,339.00","266.83","Switzerland","SIX Swiss Exchange","CHF"
"TRN","TERNA RETE ELETTRICA NAZIONALE","Utilities","Equity","4,071,907.02","0.12","4,071,907.02","534,371.00","7.62","Italy","Borsa Italiana","EUR"
"KNIN","KUEHNE UND NAGEL INTERNATIONAL AG","Industrials","Equity","4,066,664.58","0.12","4,066,664.58","18,365.00","221.44","Switzerland","SIX Swiss Exchange","CHF"
"LISN","CHOCOLADEFABRIKEN LINDT & SPRUENGL","Consumer Staples","Equity","4,049,351.47","0.12","4,049,351.47","38.00","106,562.09","Switzerland","SIX Swiss Exchange","CHF"
"BT.A","BT GROUP PLC","Communication","Equity","4,033,149.02","0.12","4,033,149.02","2,314,931.00","1.74","United Kingdom","London Stock Exchange","GBP"
"SGRO","SEGRO REIT PLC","Real Estate","Equity","4,031,084.16","0.12","4,031,084.16","475,321.00","8.48","United Kingdom","London Stock Exchange","GBP"
"EPI A","EPIROC CLASS A","Industrials","Equity","4,004,162.09","0.12","4,004,162.09","237,931.00","16.83","Sweden","Nasdaq Omx Nordic","SEK"
"KRX","KINGSPAN GROUP PLC","Industrials","Equity","3,949,990.60","0.12","3,949,990.60","56,068.00","70.45","Ireland","Irish Stock Exchange - All Market","EUR"
"WPP","WPP PLC","Communication","Equity","3,880,475.26","0.12","3,880,475.26","387,772.00","10.01","United Kingdom","London Stock Exchange","GBP"
"FBK","FINECOBANK BANCA FINECO","Financials","Equity","3,806,158.68","0.12","3,806,158.68","226,692.00","16.79","Italy","Borsa Italiana","EUR"
"SAB","BANCO DE SABADELL SA","Financials","Equity","3,792,675.58","0.12","3,792,675.58","2,020,605.00","1.88","Spain","Bolsa De Madrid","EUR"
"BESI","BE SEMICONDUCTOR INDUSTRIES NV","Information Technology","Equity","3,760,098.30","0.12","3,760,098.30","28,421.00","132.30","Netherlands","Euronext Amsterdam","EUR"
"SN.","SMITH AND NEPHEW PLC","Health Care","Equity","3,753,701.56","0.11","3,753,701.56","313,053.00","11.99","United Kingdom","London Stock Exchange","GBP"
"1CO","COVESTRO V AG","Materials","Equity","3,723,890.00","0.11","3,723,890.00","64,205.00","58.00","Germany","Xetra","EUR"
"LISP","CHOCOLADEFABRIKEN LINDT & SPRUENGL","Consumer Staples","Equity","3,723,581.15","0.11","3,723,581.15","347.00","10,730.80","Switzerland","SIX Swiss Exchange","CHF"
"BAMI","BANCO BPM","Financials","Equity","3,718,168.27","0.11","3,718,168.27","475,956.00","7.81","Italy","Borsa Italiana","EUR"
"VACN","VAT GROUP AG","Industrials","Equity","3,665,726.57","0.11","3,665,726.57","10,035.00","365.29","Switzerland","SIX Swiss Exchange","CHF"
"EQT","EQT","Financials","Equity","3,644,039.22","0.11","3,644,039.22","136,208.00","26.75","Sweden","Nasdaq Omx Nordic","SEK"
"AKZA","AKZO NOBEL NV","Materials","Equity","3,582,623.52","0.11","3,582,623.52","61,812.00","57.96","Netherlands","Euronext Amsterdam","EUR"
"EDP","EDP ENERGIAS DE PORTUGAL SA","Utilities","Equity","3,578,735.07","0.11","3,578,735.07","1,157,792.00","3.09","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"QIA","QIAGEN NV","Health Care","Equity","3,576,996.46","0.11","3,576,996.46","83,099.00","43.05","Germany","Deutsche Boerse Xetra","EUR"
"A5G","AIB GROUP PLC","Financials","Equity","3,576,142.18","0.11","3,576,142.18","670,946.00","5.33","Ireland","Irish Stock Exchange - All Market","EUR"
"KOG","KONGSBERG GRUPPEN","Industrials","Equity","3,530,288.10","0.11","3,530,288.10","32,436.00","108.84","Norway","Oslo Bors Asa","NOK"
"RO","ROCHE HOLDING AG","Health Care","Equity","3,468,639.73","0.11","3,468,639.73","12,029.00","288.36","Switzerland","SIX Swiss Exchange","CHF"
"MKS","MARKS AND SPENCER GROUP PLC","Consumer Staples","Equity","3,439,006.55","0.11","3,439,006.55","757,234.00","4.54","United Kingdom","London Stock Exchange","GBP"
"PSON","PEARSON PLC","Consumer Discretionary","Equity","3,430,957.14","0.11","3,430,957.14","221,276.00","15.51","United Kingdom","London Stock Exchange","GBP"
"RNO","RENAULT SA","Consumer Discretionary","Equity","3,417,288.55","0.10","3,417,288.55","72,631.00","47.05","France","Nyse Euronext - Euronext Paris","EUR"
"BVI","BUREAU VERITAS SA","Industrials","Equity","3,380,378.76","0.10","3,380,378.76","115,214.00","29.34","France","Nyse Euronext - Euronext Paris","EUR"
"BIRG","BANK OF IRELAND GROUP PLC","Financials","Equity","3,364,904.69","0.10","3,364,904.69","382,115.00","8.81","Ireland","Irish Stock Exchange - All Market","EUR"
"ITRK","INTERTEK GROUP PLC","Industrials","Equity","3,348,205.90","0.10","3,348,205.90","58,552.00","57.18","United Kingdom","London Stock Exchange","GBP"
"AC","ACCOR SA","Consumer Discretionary","Equity","3,344,402.88","0.10","3,344,402.88","71,097.00","47.04","France","Nyse Euronext - Euronext Paris","EUR"
"CARL B","CARLSBERG AS CL B","Consumer Staples","Equity","3,338,293.24","0.10","3,338,293.24","36,079.00","92.53","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"ACS","ACS ACTIVIDADES DE CONSTRUCCION Y","Industrials","Equity","3,287,525.92","0.10","3,287,525.92","67,868.00","48.44","Spain","Bolsa De Madrid","EUR"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","3,284,361.32","0.10","3,284,361.32","2,715,551.00","120.95","United Kingdom","-","GBP"
"ENX","EURONEXT NV","Financials","Equity","3,272,826.00","0.10","3,272,826.00","30,220.00","108.30","France","Nyse Euronext - Euronext Paris","EUR"
"FME","FRESENIUS MEDICAL CARE AG","Health Care","Equity","3,272,653.44","0.10","3,272,653.44","74,109.00","44.16","Germany","Xetra","EUR"
"CNA","CENTRICA PLC","Utilities","Equity","3,257,578.55","0.10","3,257,578.55","2,016,023.00","1.62","United Kingdom","London Stock Exchange","GBP"
