Fund Holdings as of,"26/Feb/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"9984","SOFTBANK GROUP CORP","Communication","Equity","9,281,658.55","0.13","9,281,658.55","345,000.00","26.90","Japan","Tokyo Stock Exchange","JPY"
"NAB","NATIONAL AUSTRALIA BANK LTD","Financials","Equity","9,213,030.98","0.13","9,213,030.98","264,621.00","34.82","Australia","Asx - All Markets","AUD"
"BMO","BANK OF MONTREAL","Financials","Equity","9,172,989.06","0.13","9,172,989.06","61,642.00","148.81","Canada","Toronto Stock Exchange","CAD"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","9,160,048.59","0.13","9,160,048.59","35,189.00","260.31","United States","New York Stock Exchange Inc.","USD"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","9,109,496.82","0.13","9,109,496.82","20,474.00","444.93","United States","NASDAQ","USD"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","8,955,829.74","0.13","8,955,829.74","19,591.00","457.14","United States","New York Stock Exchange Inc.","USD"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","8,868,779.60","0.13","8,868,779.60","27,410.00","323.56","United States","NASDAQ","USD"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","8,830,866.72","0.13","8,830,866.72","129,144.00","68.38","United States","New York Stock Exchange Inc.","USD"
"CM","CANADIAN IMPERIAL BANK OF COMMERCE","Financials","Equity","8,793,675.76","0.13","8,793,675.76","84,840.00","103.65","Canada","Toronto Stock Exchange","CAD"
"7011","MITSUBISHI HEAVY INDUSTRIES LTD","Industrials","Equity","8,734,735.32","0.13","8,734,735.32","278,100.00","31.41","Japan","Tokyo Stock Exchange","JPY"
"CVS","CVS HEALTH CORP","Health Care","Equity","8,726,666.66","0.13","8,726,666.66","111,866.00","78.01","United States","New York Stock Exchange Inc.","USD"
"ENEL","ENEL","Utilities","Equity","8,723,972.79","0.13","8,723,972.79","727,483.00","11.99","Italy","Borsa Italiana","EUR"
