Fund Holdings as of,"26/Feb/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"PNB","PUNJAB NATIONAL BANK","Financials","Equity","12,257,083.48","0.22","12,257,083.48","8,540,354.00","1.44","India","National Stock Exchange Of India","INR"
"SIEMENS","SIEMENS LTD","Industrials","Equity","12,226,571.85","0.22","12,226,571.85","333,115.00","36.70","India","National Stock Exchange Of India","INR"
"LODHA","LODHA DEVELOPERS LTD","Real Estate","Equity","12,188,001.80","0.22","12,188,001.80","1,095,467.00","11.13","India","National Stock Exchange Of India","INR"
"532483","CANARA BANK LTD","Financials","Equity","11,880,288.24","0.21","11,880,288.24","6,798,145.00","1.75","India","Bse Ltd","INR"
"IDEA","VODAFONE IDEA LTD","Communication","Equity","11,837,018.06","0.21","11,837,018.06","99,184,829.00","0.12","India","National Stock Exchange Of India","INR"
"BAJAJHLDNG","BAJAJ HOLDINGS AND INVESTMENT LTD","Financials","Equity","11,791,840.95","0.21","11,791,840.95","97,895.00","120.45","India","National Stock Exchange Of India","INR"
"TIINDIA","TUBE INVESTMENTS OF INDIA LTD","Consumer Discretionary","Equity","11,661,177.08","0.21","11,661,177.08","389,725.00","29.92","India","National Stock Exchange Of India","INR"
"MANKIND","MANKIND PHARMA LTD","Health Care","Equity","11,450,907.24","0.21","11,450,907.24","456,662.00","25.08","India","National Stock Exchange Of India","INR"
"BHEL","BHARAT HEAVY ELECTRICALS LTD","Industrials","Equity","11,388,852.39","0.20","11,388,852.39","3,909,423.00","2.91","India","National Stock Exchange Of India","INR"
"COLPAL","COLGATE PALMOLIVE INDIA LTD","Consumer Staples","Equity","11,382,531.32","0.20","11,382,531.32","450,850.00","25.25","India","National Stock Exchange Of India","INR"
"MPHASIS","MPHASIS LTD","Information Technology","Equity","11,274,640.06","0.20","11,274,640.06","453,251.00","24.88","India","National Stock Exchange Of India","INR"
"DABUR","DABUR INDIA LTD","Consumer Staples","Equity","11,230,474.46","0.20","11,230,474.46","1,946,824.00","5.77","India","National Stock Exchange Of India","INR"
"COROMANDEL","COROMANDEL INTERNATIONAL LTD","Materials","Equity","11,185,979.70","0.20","11,185,979.70","436,354.00","25.64","India","National Stock Exchange Of India","INR"
"TORNTPOWER","TORRENT POWER LTD","Utilities","Equity","11,173,078.44","0.20","11,173,078.44","649,028.00","17.22","India","National Stock Exchange Of India","INR"
"GMRAIRPORT","GMR AIRPORTS LTD","Industrials","Equity","11,025,060.63","0.20","11,025,060.63","9,801,846.00","1.12","India","National Stock Exchange Of India","INR"
"JSL","JINDAL STAINLESS LTD","Materials","Equity","10,973,077.37","0.20","10,973,077.37","1,232,912.00","8.90","India","National Stock Exchange Of India","INR"
"GODREJPROP","GODREJ PROPERTIES LTD","Real Estate","Equity","10,956,142.15","0.20","10,956,142.15","554,050.00","19.77","India","National Stock Exchange Of India","INR"
"VMM","VISHAL MEGA MART LTD","Consumer Discretionary","Equity","10,925,962.71","0.20","10,925,962.71","7,788,970.00","1.40","India","National Stock Exchange Of India","INR"
"BOSCHLTD","BOSCH LTD","Consumer Discretionary","Equity","10,800,819.01","0.19","10,800,819.01","26,727.00","404.12","India","National Stock Exchange Of India","INR"
"IDFCFIRSTB","IDFC FIRST BANK LTD","Financials","Equity","10,719,310.87","0.19","10,719,310.87","13,384,696.00","0.80","India","National Stock Exchange Of India","INR"
"ALKEM","ALKEM LABORATORIES LTD","Health Care","Equity","10,351,770.28","0.19","10,351,770.28","163,617.00","63.27","India","National Stock Exchange Of India","INR"
"SUPREMEIND","SUPREME INDUSTRIES LTD","Industrials","Equity","10,248,944.10","0.18","10,248,944.10","232,514.00","44.08","India","National Stock Exchange Of India","INR"
"NMDC","NMDC LTD","Materials","Equity","10,152,931.02","0.18","10,152,931.02","11,180,325.00","0.91","India","National Stock Exchange Of India","INR"
"PRESTIGE","PRESTIGE ESTATES PROJECTS LTD","Real Estate","Equity","10,132,950.10","0.18","10,132,950.10","644,894.00","15.71","India","National Stock Exchange Of India","INR"
"ICICIPRULI","ICICI PRUDENTIAL LIFE INSURANCE CO","Financials","Equity","9,914,002.79","0.18","9,914,002.79","1,336,188.00","7.42","India","National Stock Exchange Of India","INR"
"ENRIN","SIEMENS ENERGY INDIA LTD","Industrials","Equity","9,842,004.35","0.18","9,842,004.35","306,400.00","32.12","India","National Stock Exchange Of India","INR"
"SHREECEM","SHREE CEMENT LTD","Materials","Equity","9,782,000.87","0.18","9,782,000.87","33,252.00","294.18","India","National Stock Exchange Of India","INR"
"WAAREEENER","WAAREE ENERGIES LTD","Information Technology","Equity","9,588,553.68","0.17","9,588,553.68","320,763.00","29.89","India","National Stock Exchange Of India","INR"
