Fund Holdings as of,"13/Mar/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"000270","KIA CORPORATION CORP","Consumer Discretionary","Equity","16’812’407.71","0.32","16’812’407.71","152’821.00","110.01","Korea (South)","Korea Exchange (Stock Market)","KRW"
"LT","LARSEN AND TOUBRO LTD","Industrials","Equity","16’610’494.61","0.31","16’610’494.61","446’561.00","37.20","India","National Stock Exchange Of India","INR"
"NBK","NATIONAL BANK OF KUWAIT","Financials","Equity","16’556’086.85","0.31","16’556’086.85","5’408’439.00","3.06","Kuwait","Kuwait Stock Exchange","KWD"
"DELTA.R","DELTA ELECTRONICS (THAILAND) NON-V","Information Technology","Equity","16’519’925.69","0.31","16’519’925.69","2’092’200.00","7.90","Thailand","Stock Exchange Of Thailand","THB"
"2382","QUANTA COMPUTER INC","Information Technology","Equity","16’495’052.14","0.31","16’495’052.14","1’825’500.00","9.04","Taiwan","Taiwan Stock Exchange","TWD"
"1211","SAUDI ARABIAN MINING","Materials","Equity","16’199’813.89","0.31","16’199’813.89","881’627.00","18.37","Saudi Arabia","Saudi Stock Exchange","SAR"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","15’500’749.52","0.29","15’500’749.52","594’533.00","26.07","India","National Stock Exchange Of India","INR"
"2881","FUBON FINANCIAL HOLDING LTD","Financials","Equity","15’448’421.15","0.29","15’448’421.15","5’608’338.00","2.75","Taiwan","Taiwan Stock Exchange","TWD"
"OTP","OTP BANK","Financials","Equity","15’378’519.84","0.29","15’378’519.84","148’761.00","103.38","Hungary","Budapest Stock Exchange","HUF"
"VAL","VALTERRA PLATINUM LTD","Materials","Equity","15’220’435.40","0.29","15’220’435.40","176’703.00","86.14","South Africa","Johannesburg Stock Exchange","ZAR"
"QNBK","QATAR NATIONAL BANK","Financials","Equity","15’170’115.31","0.29","15’170’115.31","3’060’077.00","4.96","Qatar","Qatar Exchange","QAR"
"SBK","STANDARD BANK GROUP","Financials","Equity","14’914’578.97","0.28","14’914’578.97","858’732.00","17.37","South Africa","Johannesburg Stock Exchange","ZAR"
"2345","ACCTON TECHNOLOGY CORP","Information Technology","Equity","14’891’719.17","0.28","14’891’719.17","335’415.00","44.40","Taiwan","Taiwan Stock Exchange","TWD"
"BBCA","BANK CENTRAL ASIA","Financials","Equity","14’788’108.77","0.28","14’788’108.77","36’437’900.00","0.41","Indonesia","Indonesia Stock Exchange","IDR"
"7010","SAUDI TELECOM","Communication","Equity","14’667’573.47","0.28","14’667’573.47","1’301’149.00","11.27","Saudi Arabia","Saudi Stock Exchange","SAR"
"BAP","CREDICORP LTD","Financials","Equity","14’525’653.68","0.27","14’525’653.68","44’601.00","325.68","Peru","New York Stock Exchange Inc.","USD"
"KOTAKBANK","KOTAK MAHINDRA BANK LTD","Financials","Equity","14’294’115.53","0.27","14’294’115.53","3’602’460.00","3.97","India","National Stock Exchange Of India","INR"
"CPI","CAPITEC LTD","Financials","Equity","14’211’463.81","0.27","14’211’463.81","58’243.00","244.00","South Africa","Johannesburg Stock Exchange","ZAR"
"2882","CATHAY FINANCIAL HOLDING LTD","Financials","Equity","14’168’145.07","0.27","14’168’145.07","6’320’040.00","2.24","Taiwan","Taiwan Stock Exchange","TWD"
"2303","UNITED MICRO ELECTRONICS CORP","Information Technology","Equity","14’099’473.17","0.27","14’099’473.17","7’579’000.00","1.86","Taiwan","Taiwan Stock Exchange","TWD"
"035420","NAVER CORP","Communication","Equity","14’049’694.33","0.27","14’049’694.33","94’092.00","149.32","Korea (South)","Korea Exchange (Stock Market)","KRW"
"SBIN","STATE BANK OF INDIA","Financials","Equity","13’886’149.63","0.26","13’886’149.63","1’226’212.00","11.32","India","National Stock Exchange Of India","INR"
"068270","CELLTRION INC","Health Care","Equity","13’675’185.98","0.26","13’675’185.98","99’383.00","137.60","Korea (South)","Korea Exchange (Stock Market)","KRW"
"AMXB","AMERICA MOVIL B","Communication","Equity","13’593’924.80","0.26","13’593’924.80","11’863’278.00","1.15","Mexico","Bolsa Mexicana De Valores","MXN"
"PKO","POWSZECHNA KASA OSZCZEDNOSCI BANK","Financials","Equity","13’440’110.58","0.25","13’440’110.58","580’564.00","23.15","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"086790","HANA FINANCIAL GROUP INC","Financials","Equity","13’412’758.24","0.25","13’412’758.24","183’942.00","72.92","Korea (South)","Korea Exchange (Stock Market)","KRW"
"EMAAR","EMAAR PROPERTIES","Real Estate","Equity","13’408’084.07","0.25","13’408’084.07","4’397’253.00","3.05","United Arab Emirates","Dubai Financial Market","AED"
"FAB","FIRST ABU DHABI BANK","Financials","Equity","13’361’939.07","0.25","13’361’939.07","2’921’413.00","4.57","United Arab Emirates","Abu Dhabi Securities Exchange","AED"
"PKN","ORLEN SA","Energy","Equity","13’337’198.50","0.25","13’337’198.50","388’207.00","34.36","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"3037","UNIMICRON TECHNOLOGY CORP","Information Technology","Equity","12’834’189.13","0.24","12’834’189.13","808’036.00","15.88","Taiwan","Taiwan Stock Exchange","TWD"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","12’770’785.36","0.24","12’770’785.36","546’631.00","23.36","India","National Stock Exchange Of India","INR"
"3017","ASIA VITAL COMPONENTS LTD","Information Technology","Equity","12’711’867.06","0.24","12’711’867.06","218’000.00","58.31","Taiwan","Taiwan Stock Exchange","TWD"
"SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES LTD","Health Care","Equity","12’469’320.71","0.24","12’469’320.71","639’904.00","19.49","India","National Stock Exchange Of India","INR"
"MTN","MTN GROUP LTD","Communication","Equity","12’415’488.36","0.23","12’415’488.36","1’150’525.00","10.79","South Africa","Johannesburg Stock Exchange","ZAR"
"NTPC","NTPC LTD","Utilities","Equity","12’087’951.29","0.23","12’087’951.29","2’906’988.00","4.16","India","National Stock Exchange Of India","INR"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Consumer Staples","Equity","11’788’085.58","0.22","11’788’085.58","1’112’028.00","10.60","Mexico","Bolsa Mexicana De Valores","MXN"
"BEL","BHARAT ELECTRONICS LTD","Industrials","Equity","11’619’636.08","0.22","11’619’636.08","2’444’910.00","4.75","India","National Stock Exchange Of India","INR"
"PBBANK","PUBLIC BANK","Financials","Equity","11’503’175.57","0.22","11’503’175.57","9’458’300.00","1.22","Malaysia","Bursa Malaysia","MYR"
"MAYBANK","MALAYAN BANKING","Financials","Equity","11’463’709.53","0.22","11’463’709.53","3’988’500.00","2.87","Malaysia","Bursa Malaysia","MYR"
"EAND","EMIRATES TELECOM","Communication","Equity","11’451’125.91","0.22","11’451’125.91","2’283’449.00","5.01","United Arab Emirates","Abu Dhabi Securities Exchange","AED"
"MARUTI","MARUTI SUZUKI INDIA LTD","Consumer Discretionary","Equity","11’396’247.49","0.22","11’396’247.49","83’682.00","136.19","India","National Stock Exchange Of India","INR"
"2360","CHROMA ATE INC","Information Technology","Equity","10’954’711.02","0.21","10’954’711.02","229’000.00","47.84","Taiwan","Taiwan Stock Exchange","TWD"
"CIMB","CIMB GROUP HOLDINGS","Financials","Equity","10’865’456.39","0.21","10’865’456.39","5’349’200.00","2.03","Malaysia","Bursa Malaysia","MYR"
"2412","CHUNGHWA TELECOM LTD","Communication","Equity","10’843’090.97","0.21","10’843’090.97","2’550’000.00","4.25","Taiwan","Taiwan Stock Exchange","TWD"
"WALMEX*","WALMART DE MEXICO V","Consumer Staples","Equity","10’814’854.67","0.20","10’814’854.67","3’396’561.00","3.18","Mexico","Bolsa Mexicana De Valores","MXN"
