Fund Holdings as of,"26/Feb/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"ORK","ORKLA","Consumer Staples","Equity","4,144,289.01","0.08","4,144,289.01","359,556.00","11.53","Norway","Oslo Bors Asa","NOK"
"ADM","ADMIRAL GROUP PLC","Financials","Equity","4,131,066.90","0.08","4,131,066.90","122,940.00","33.60","United Kingdom","London Stock Exchange","GBP"
"MNG","M&G PLC","Financials","Equity","4,109,943.22","0.08","4,109,943.22","1,132,770.00","3.63","United Kingdom","London Stock Exchange","GBP"
"ITRK","INTERTEK GROUP PLC","Industrials","Equity","4,108,046.12","0.08","4,108,046.12","76,481.00","53.71","United Kingdom","London Stock Exchange","GBP"
"BEAN","BELIMO N AG","Industrials","Equity","4,077,876.61","0.08","4,077,876.61","4,785.00","852.22","Switzerland","SIX Swiss Exchange","CHF"
"UNI","UNIPOL ASSICURAZIONI SPA","Financials","Equity","4,068,608.25","0.08","4,068,608.25","191,825.00","21.21","Italy","Borsa Italiana","EUR"
"BNZL","BUNZL","Industrials","Equity","4,062,159.51","0.08","4,062,159.51","164,208.00","24.74","United Kingdom","London Stock Exchange","GBP"
"KBX","KNORR BREMSE AG","Industrials","Equity","3,989,693.00","0.07","3,989,693.00","35,782.00","111.50","Germany","Xetra","EUR"
"RXL","REXEL SA","Industrials","Equity","3,967,389.90","0.07","3,967,389.90","107,430.00","36.93","France","Nyse Euronext - Euronext Paris","EUR"
"CON","CONTINENTAL AG","Consumer Discretionary","Equity","3,939,195.96","0.07","3,939,195.96","53,046.00","74.26","Germany","Xetra","EUR"
"COLO B","COLOPLAST B","Health Care","Equity","3,930,616.30","0.07","3,930,616.30","61,032.00","64.40","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"OMV","OMV AG","Energy","Equity","3,909,875.90","0.07","3,909,875.90","70,703.00","55.30","Austria","Wiener Boerse Ag","EUR"
"ADDT B","ADDTECH CLASS B","Industrials","Equity","3,892,711.95","0.07","3,892,711.95","126,006.00","30.89","Sweden","Nasdaq Omx Nordic","SEK"
"ERF","EUROFINS SCIENTIFIC","Health Care","Equity","3,892,477.88","0.07","3,892,477.88","57,479.00","67.72","France","Nyse Euronext - Euronext Paris","EUR"
"AKRBP","AKER BP","Energy","Equity","3,826,022.80","0.07","3,826,022.80","153,614.00","24.91","Norway","Oslo Bors Asa","NOK"
"HEN","HENKEL AG","Consumer Staples","Equity","3,808,081.60","0.07","3,808,081.60","49,844.00","76.40","Germany","Xetra","EUR"
"KGF","KINGFISHER PLC","Consumer Discretionary","Equity","3,803,636.18","0.07","3,803,636.18","896,400.00","4.24","United Kingdom","London Stock Exchange","GBP"
"BCP","BANCO COMERCIAL PORTUGUES SA","Financials","Equity","3,770,501.20","0.07","3,770,501.20","4,080,629.00","0.92","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"INDU C","INDUSTRIVARDEN SERIES","Financials","Equity","3,768,328.22","0.07","3,768,328.22","79,552.00","47.37","Sweden","Nasdaq Omx Nordic","SEK"
"GALP","GALP ENERGIA SGPS SA CLASS B","Energy","Equity","3,727,890.94","0.07","3,727,890.94","203,877.00","18.29","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"TREL B","TRELLEBORG B","Industrials","Equity","3,714,249.80","0.07","3,714,249.80","99,363.00","37.38","Sweden","Nasdaq Omx Nordic","SEK"
"LI","KLEPIERRE REIT SA","Real Estate","Equity","3,659,280.30","0.07","3,659,280.30","103,545.00","35.34","France","Nyse Euronext - Euronext Paris","EUR"
"ORNBV","ORION CLASS B","Health Care","Equity","3,651,836.85","0.07","3,651,836.85","53,743.00","67.95","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"EVO","EVOLUTION","Consumer Discretionary","Equity","3,646,569.76","0.07","3,646,569.76","70,084.00","52.03","Sweden","Nasdaq Omx Nordic","SEK"
"SECU B","SECURITAS B","Industrials","Equity","3,639,281.99","0.07","3,639,281.99","245,577.00","14.82","Sweden","Nasdaq Omx Nordic","SEK"
"SOBI","SWEDISH ORPHAN BIOVITRUM","Health Care","Equity","3,596,803.33","0.07","3,596,803.33","96,197.00","37.39","Sweden","Nasdaq Omx Nordic","SEK"
"TIT","TELECOM ITALIA","Communication","Equity","3,595,987.03","0.07","3,595,987.03","5,726,094.00","0.63","Italy","Borsa Italiana","EUR"
"SCHN","SCHINDLER HOLDING AG","Industrials","Equity","3,573,950.11","0.07","3,573,950.11","11,611.00","307.81","Switzerland","SIX Swiss Exchange","CHF"
"GBLB","GROUPE BRUXELLES LAMBERT NV","Financials","Equity","3,562,338.30","0.07","3,562,338.30","41,738.00","85.35","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"ABF","ASSOCIATED BRITISH FOODS PLC","Consumer Staples","Equity","3,547,802.40","0.07","3,547,802.40","158,942.00","22.32","United Kingdom","London Stock Exchange","GBP"
"SBRY","SAINSBURY(J) PLC","Consumer Staples","Equity","3,478,893.57","0.07","3,478,893.57","861,001.00","4.04","United Kingdom","London Stock Exchange","GBP"
"TRYG","TRYG","Financials","Equity","3,434,550.34","0.06","3,434,550.34","164,185.00","20.92","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"EXO","EXOR NV","Financials","Equity","3,428,397.70","0.06","3,428,397.70","45,773.00","74.90","Netherlands","Euronext Amsterdam","EUR"
"LIFCO B","LIFCO CLASS B","Industrials","Equity","3,392,830.28","0.06","3,392,830.28","113,257.00","29.96","Sweden","Nasdaq Omx Nordic","SEK"
"TLX","TALANX AG","Financials","Equity","3,390,414.40","0.06","3,390,414.40","31,627.00","107.20","Germany","Xetra","EUR"
"SCA B","SVENSKA CELLULOSA B","Materials","Equity","3,347,478.73","0.06","3,347,478.73","290,832.00","11.51","Sweden","Nasdaq Omx Nordic","SEK"
"UHR","THE SWATCH GROUP AG","Consumer Discretionary","Equity","3,285,859.82","0.06","3,285,859.82","14,909.00","220.39","Switzerland","SIX Swiss Exchange","CHF"
"BNR","BRENNTAG","Industrials","Equity","3,278,109.60","0.06","3,278,109.60","62,655.00","52.32","Germany","Xetra","EUR"
"ANA","ACCIONA SA","Utilities","Equity","3,231,939.20","0.06","3,231,939.20","14,704.00","219.80","Spain","Bolsa De Madrid","EUR"
"PHNX","PHOENIX GROUP HOLDINGS PLC","Financials","Equity","3,226,095.59","0.06","3,226,095.59","367,499.00","8.78","United Kingdom","London Stock Exchange","GBP"
"PSON","PEARSON PLC","Consumer Discretionary","Equity","3,190,691.66","0.06","3,190,691.66","290,084.00","11.00","United Kingdom","London Stock Exchange","GBP"
"SPX","SPIRAX GROUP PLC","Industrials","Equity","3,188,364.65","0.06","3,188,364.65","35,262.00","90.42","United Kingdom","London Stock Exchange","GBP"
"ELI","ELIA GROUP SA","Utilities","Equity","3,187,726.00","0.06","3,187,726.00","23,789.00","134.00","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"MAERSK A","A P MOLLER MAERSK","Industrials","Equity","3,181,746.85","0.06","3,181,746.85","1,563.00","2,035.67","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"IAG","INTERNATIONAL AIRLINES GROUP SA","Industrials","Equity","3,173,670.50","0.06","3,173,670.50","606,125.00","5.24","Spain","Bolsa De Madrid","EUR"
