Fund Holdings as of,"26/Feb/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financials","Equity","62,757,033.45","0.22","62,757,033.45","3,347,900.00","18.75","Japan","Tokyo Stock Exchange","JPY"
"C","CITIGROUP INC","Financials","Equity","62,310,837.96","0.22","62,310,837.96","536,284.00","116.19","United States","New York Stock Exchange Inc.","USD"
"USD","USD CASH","Cash and/or Derivatives","Cash","61,652,696.34","0.22","61,652,696.34","61,652,696.00","100.00","United States","-","USD"
"KLAC","KLA CORP","Information Technology","Equity","61,083,674.63","0.21","61,083,674.63","40,073.00","1,524.31","United States","NASDAQ","USD"
"BHP","BHP GROUP LTD","Materials","Equity","60,446,548.70","0.21","60,446,548.70","1,474,320.00","41.00","Australia","Asx - All Markets","AUD"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","59,838,588.86","0.21","59,838,588.86","1,316,291.00","45.46","United States","NASDAQ","USD"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","59,251,327.70","0.21","59,251,327.70","509,645.00","116.26","United States","New York Stock Exchange Inc.","USD"
"SAN","BANCO SANTANDER SA","Financials","Equity","58,431,720.74","0.20","58,431,720.74","4,462,489.00","13.09","Spain","Bolsa De Madrid","EUR"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","58,399,985.02","0.20","58,399,985.02","1,194,518.00","48.89","United States","New York Stock Exchange Inc.","USD"
"AMGN","AMGEN INC","Health Care","Equity","58,217,292.42","0.20","58,217,292.42","153,474.00","379.33","United States","NASDAQ","USD"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","57,453,495.44","0.20","57,453,495.44","110,462.00","520.12","United States","New York Stock Exchange Inc.","USD"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","57,034,170.16","0.20","57,034,170.16","268,232.00","212.63","United States","NASDAQ","USD"
"T","AT&T INC","Communication","Equity","56,276,524.00","0.20","56,276,524.00","2,049,400.00","27.46","United States","New York Stock Exchange Inc.","USD"
"AXP","AMERICAN EXPRESS","Financials","Equity","56,120,161.16","0.20","56,120,161.16","167,363.00","335.32","United States","New York Stock Exchange Inc.","USD"
"DIS","WALT DISNEY","Communication","Equity","55,898,330.05","0.20","55,898,330.05","529,591.00","105.55","United States","New York Stock Exchange Inc.","USD"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","55,844,921.24","0.19","55,844,921.24","607,076.00","91.99","United States","New York Stock Exchange Inc.","USD"
"CRM","SALESFORCE INC","Information Technology","Equity","55,511,703.12","0.19","55,511,703.12","278,296.00","199.47","United States","New York Stock Exchange Inc.","USD"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","53,113,420.80","0.19","53,113,420.80","104,785.00","506.88","United States","NASDAQ","USD"
"TJX","TJX INC","Consumer Discretionary","Equity","53,004,522.97","0.19","53,004,522.97","334,013.00","158.69","United States","New York Stock Exchange Inc.","USD"
"BA","BOEING","Industrials","Equity","52,475,931.63","0.18","52,475,931.63","228,743.00","229.41","United States","New York Stock Exchange Inc.","USD"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","52,215,251.22","0.18","52,215,251.22","363,186.00","143.77","United States","NASDAQ","USD"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","52,153,941.70","0.18","52,153,941.70","147,182.00","354.35","United States","NASDAQ","USD"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","52,137,764.49","0.18","52,137,764.49","351,167.00","148.47","United States","New York Stock Exchange Inc.","USD"
"TD","TORONTO DOMINION","Financials","Equity","51,040,544.63","0.18","51,040,544.63","516,845.00","98.75","Canada","Toronto Stock Exchange","CAD"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","50,447,671.28","0.18","50,447,671.28","156,679.00","321.98","France","Nyse Euronext - Euronext Paris","EUR"
"MC","LVMH","Consumer Discretionary","Equity","49,591,360.81","0.17","49,591,360.81","76,200.00","650.80","France","Nyse Euronext - Euronext Paris","EUR"
"TTE","TOTALENERGIES","Energy","Equity","49,483,592.25","0.17","49,483,592.25","620,882.00","79.70","France","Nyse Euronext - Euronext Paris","EUR"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","49,305,429.36","0.17","49,305,429.36","505,593.00","97.52","United States","New York Stock Exchange Inc.","USD"
"ALV","ALLIANZ","Financials","Equity","49,174,711.77","0.17","49,174,711.77","108,341.00","453.89","Germany","Xetra","EUR"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industrials","Equity","48,256,322.06","0.17","48,256,322.06","2,640,470.00","18.28","United Kingdom","London Stock Exchange","GBP"
"DE","DEERE","Industrials","Equity","46,843,565.20","0.16","46,843,565.20","75,620.00","619.46","United States","New York Stock Exchange Inc.","USD"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","46,737,387.18","0.16","46,737,387.18","645,183.00","72.44","United Kingdom","London Stock Exchange","GBP"
"BLK","BLACKROCK INC","Financials","Equity","46,739,874.90","0.16","46,739,874.90","42,870.00","1,090.27","United States","New York Stock Exchange Inc.","USD"
"IBE","IBERDROLA SA","Utilities","Equity","46,607,296.64","0.16","46,607,296.64","1,970,211.00","23.66","Spain","Bolsa De Madrid","EUR"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","45,492,115.04","0.16","45,492,115.04","188,858.00","240.88","United States","NASDAQ","USD"
"UNP","UNION PACIFIC CORP","Industrials","Equity","45,245,156.15","0.16","45,245,156.15","170,447.00","265.45","United States","New York Stock Exchange Inc.","USD"
"QCOM","QUALCOMM INC","Information Technology","Equity","45,064,035.93","0.16","45,064,035.93","309,527.00","145.59","United States","NASDAQ","USD"
"ENR","SIEMENS ENERGY N AG","Industrials","Equity","44,918,987.04","0.16","44,918,987.04","230,948.00","194.50","Germany","Xetra","EUR"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","Information Technology","Equity","44,161,201.91","0.15","44,161,201.91","351,045.00","125.80","Canada","Toronto Stock Exchange","CAD"
"6501","HITACHI LTD","Industrials","Equity","44,073,399.13","0.15","44,073,399.13","1,335,900.00","32.99","Japan","Tokyo Stock Exchange","JPY"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","43,540,538.37","0.15","43,540,538.37","164,683.00","264.39","United States","New York Stock Exchange Inc.","USD"
"PFE","PFIZER INC","Health Care","Equity","43,433,657.80","0.15","43,433,657.80","1,602,718.00","27.10","United States","New York Stock Exchange Inc.","USD"
"SAF","SAFRAN SA","Industrials","Equity","43,319,818.35","0.15","43,319,818.35","105,933.00","408.93","France","Nyse Euronext - Euronext Paris","EUR"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","43,307,554.40","0.15","43,307,554.40","578,978.00","74.80","United States","New York Stock Exchange Inc.","USD"
"ABBN","ABB LTD","Industrials","Equity","42,647,871.28","0.15","42,647,871.28","464,510.00","91.81","Switzerland","SIX Swiss Exchange","CHF"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Financials","Equity","42,552,769.90","0.15","42,552,769.90","1,794,341.00","23.71","Spain","Bolsa De Madrid","EUR"
"ETN","EATON PLC","Industrials","Equity","42,512,593.69","0.15","42,512,593.69","113,491.00","374.59","United States","New York Stock Exchange Inc.","USD"
"COP","CONOCOPHILLIPS","Energy","Equity","42,098,324.40","0.15","42,098,324.40","380,292.00","110.70","United States","New York Stock Exchange Inc.","USD"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","41,738,612.50","0.15","41,738,612.50","320,450.00","130.25","United States","New York Stock Exchange Inc.","USD"
"WELL","WELLTOWER INC","Real Estate","Equity","41,464,874.00","0.14","41,464,874.00","198,920.00","208.45","United States","New York Stock Exchange Inc.","USD"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","Financials","Equity","41,287,375.03","0.14","41,287,375.03","1,093,800.00","37.75","Japan","Tokyo Stock Exchange","JPY"
"NEM","NEWMONT","Materials","Equity","41,138,648.04","0.14","41,138,648.04","322,732.00","127.47","United States","New York Stock Exchange Inc.","USD"
"SPGI","S&P GLOBAL INC","Financials","Equity","40,844,066.40","0.14","40,844,066.40","93,360.00","437.49","United States","New York Stock Exchange Inc.","USD"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","40,791,533.37","0.14","40,791,533.37","195,671.00","208.47","United States","New York Stock Exchange Inc.","USD"
"6857","ADVANTEST CORP","Information Technology","Equity","40,662,650.60","0.14","40,662,650.60","225,600.00","180.24","Japan","Tokyo Stock Exchange","JPY"
"8035","TOKYO ELECTRON LTD","Information Technology","Equity","40,507,209.69","0.14","40,507,209.69","139,500.00","290.37","Japan","Tokyo Stock Exchange","JPY"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","40,411,472.08","0.14","40,411,472.08","9,508.00","4,250.26","United States","NASDAQ","USD"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","40,389,966.87","0.14","40,389,966.87","62,949.00","641.63","United States","New York Stock Exchange Inc.","USD"
"DTE","DEUTSCHE TELEKOM N AG","Communication","Equity","40,038,887.37","0.14","40,038,887.37","1,031,163.00","38.83","Germany","Xetra","EUR"
"UBSG","UBS GROUP AG","Financials","Equity","39,736,017.65","0.14","39,736,017.65","951,586.00","41.76","Switzerland","SIX Swiss Exchange","CHF"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","39,554,767.56","0.14","39,554,767.56","277,266.00","142.66","United States","New York Stock Exchange Inc.","USD"
"DHR","DANAHER CORP","Health Care","Equity","39,028,472.48","0.14","39,028,472.48","186,418.00","209.36","United States","New York Stock Exchange Inc.","USD"
"6758","SONY GROUP CORP","Consumer Discretionary","Equity","38,951,567.55","0.14","38,951,567.55","1,788,700.00","21.78","Japan","Tokyo Stock Exchange","JPY"
"CB","CHUBB LTD","Financials","Equity","38,937,169.92","0.14","38,937,169.92","115,226.00","337.92","United States","New York Stock Exchange Inc.","USD"
"AEM","AGNICO EAGLE MINES LTD","Materials","Equity","38,567,608.76","0.13","38,567,608.76","156,569.00","246.33","Canada","Toronto Stock Exchange","CAD"
"SYK","STRYKER CORP","Health Care","Equity","38,417,216.66","0.13","38,417,216.66","99,511.00","386.06","United States","New York Stock Exchange Inc.","USD"
"GLW","CORNING INC","Information Technology","Equity","37,740,179.70","0.13","37,740,179.70","251,099.00","150.30","United States","New York Stock Exchange Inc.","USD"
"BATS","BRITISH AMERICAN TOBACCO","Consumer Staples","Equity","37,287,113.62","0.13","37,287,113.62","596,123.00","62.55","United Kingdom","London Stock Exchange","GBP"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","37,045,948.44","0.13","37,045,948.44","178,638.00","207.38","United States","New York Stock Exchange Inc.","USD"
"UCG","UNICREDIT","Financials","Equity","36,835,209.23","0.13","36,835,209.23","423,268.00","87.03","Italy","Borsa Italiana","EUR"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","36,815,805.00","0.13","36,815,805.00","602,550.00","61.10","United States","New York Stock Exchange Inc.","USD"
"MCK","MCKESSON CORP","Health Care","Equity","36,794,257.55","0.13","36,794,257.55","37,759.00","974.45","United States","New York Stock Exchange Inc.","USD"
"AIR","AIRBUS GROUP","Industrials","Equity","36,739,004.94","0.13","36,739,004.94","166,749.00","220.32","France","Nyse Euronext - Euronext Paris","EUR"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","36,568,141.19","0.13","36,568,141.19","76,163.00","480.13","United States","NASDAQ","USD"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","36,233,414.03","0.13","36,233,414.03","35,699.00","1,014.97","United States","New York Stock Exchange Inc.","USD"
"PGR","PROGRESSIVE CORP","Financials","Equity","35,909,408.00","0.13","35,909,408.00","169,600.00","211.73","United States","New York Stock Exchange Inc.","USD"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","35,503,616.08","0.12","35,503,616.08","511,064.00","69.47","United States","New York Stock Exchange Inc.","USD"
"MDT","MEDTRONIC PLC","Health Care","Equity","35,480,863.07","0.12","35,480,863.07","365,669.00","97.03","United States","New York Stock Exchange Inc.","USD"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","35,258,341.87","0.12","35,258,341.87","935,809.00","37.68","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"1299","AIA GROUP LTD","Financials","Equity","34,844,436.49","0.12","34,844,436.49","3,218,400.00","10.83","Hong Kong","Hong Kong Exchanges And Clearing Ltd","HKD"
"GSK","GLAXOSMITHKLINE","Health Care","Equity","34,290,730.11","0.12","34,290,730.11","1,171,068.00","29.28","United Kingdom","London Stock Exchange","GBP"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","34,149,901.10","0.12","34,149,901.10","1,106,966.00","30.85","United States","NASDAQ","USD"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","33,858,522.00","0.12","33,858,522.00","226,630.00","149.40","United States","NASDAQ","USD"
"ENB","ENBRIDGE INC","Energy","Equity","33,632,127.20","0.12","33,632,127.20","644,051.00","52.22","Canada","Toronto Stock Exchange","CAD"
"BNP","BNP PARIBAS SA","Financials","Equity","33,417,783.52","0.12","33,417,783.52","294,120.00","113.62","France","Nyse Euronext - Euronext Paris","EUR"
"NOW","SERVICENOW INC","Information Technology","Equity","33,305,458.80","0.12","33,305,458.80","304,716.00","109.30","United States","New York Stock Exchange Inc.","USD"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materials","Equity","32,912,148.77","0.11","32,912,148.77","155,405.00","211.78","France","Nyse Euronext - Euronext Paris","EUR"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Consumer Discretionary","Equity","32,776,138.42","0.11","32,776,138.42","155,873.00","210.27","Switzerland","SIX Swiss Exchange","CHF"
"INTU","INTUIT INC","Information Technology","Equity","32,734,887.90","0.11","32,734,887.90","82,995.00","394.42","United States","NASDAQ","USD"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","32,582,726.25","0.11","32,582,726.25","430,135.00","75.75","United States","New York Stock Exchange Inc.","USD"
