stock_id,name,weight,location,sector
000538|China,YUNNAN BAIYAO GROUP LTD A,0.0007601248552189871,China,Health Care
002625|China,KUANG-CHI TECHNOLOGIES LTD A,0.0007601248552189871,China,Industrials
688271|China,SHANGHAI UNITED IMAGING HEALTHCARE,0.0007601248552189871,China,Health Care
000100|China,TCL TECHNOLOGY GROUP CORP A,0.0007601248552189871,China,Information Technology
601995|China,CHINA INTERNATIONAL CAPITAL CORP L,0.0007601248552189871,China,Financials
600026|China,COSCO SHIPPING ENERGY TRANSPORTATI,0.0007601248552189871,China,Energy
688525|China,BIWIN STORAGE TECHNOLOGY LTD A,0.0007601248552189871,China,Information Technology
002027|China,FOCUS MEDIA INFORMATION TECHNOLOGY,0.0007601248552189871,China,Communication
600585|China,ANHUI CONCH CEMENT LTD A,0.0007601248552189871,China,Materials
600522|China,JIANGSU ZHONGTIAN TECHNOLOGY LTD A,0.0007601248552189871,China,Industrials
RED|Spain,REDEIA CORPORACION SA,0.00076,Spain,Utilities
600436|China,ZHANGZHOU PIENTZEHUANG PHARMACEUTI,0.0007221186124580381,China,Health Care
000895|China,HENAN SHUANGHUI INVESTMENT & DEVEL,0.0007221186124580381,China,Consumer Staples
300015|China,AIER EYE HOSPITAL GROUP LTD A,0.0007221186124580381,China,Health Care
000977|China,INSPUR ELECTRONIC INFORMATION INDU,0.0007221186124580381,China,Information Technology
600015|China,HUA XIA BANK LTD A,0.0007221186124580381,China,Financials
600438|China,TONGWEI LTD A,0.0007221186124580381,China,Information Technology
002837|China,SHENZHEN ENVICOOL TECHNOLOGY LTD A,0.0007221186124580381,China,Industrials
300124|China,SHENZHEN INOVANCE TECHNOLOGY LTD A,0.0007221186124580381,China,Industrials
601111|China,AIR CHINA LTD A,0.0007221186124580381,China,Industrials
002241|China,GOERTEK INC A,0.0006841123696970885,China,Information Technology
002379|China,SHANDONG HONGQIAO ALUMINUM INDUSTR,0.0006841123696970885,China,Materials
000426|China,INNER MONGOLIA XINGYE SILVER&TIN M,0.0006841123696970885,China,Materials
002709|China,GUANGZHOU TINCI MATERIALS TECHNOLO,0.0006841123696970885,China,Materials
002050|China,ZHEJIANG SANHUA INTELLIGENT CONTRO,0.0006841123696970885,China,Industrials
000975|China,SHANJIN INTERNATIONAL GOLD LTD A,0.0006841123696970885,China,Materials
002311|China,GUANGDONG HAID GROUP LTD A,0.0006841123696970885,China,Consumer Staples
002648|China,SATELLITE CHEMICAL LTD A,0.0006841123696970885,China,Materials
000625|China,CHONGQING CHANGAN AUTOMOBILE LTD A,0.0006841123696970885,China,Consumer Discretionary
600795|China,GD POWER DEVELOPMENT LTD A,0.0006841123696970885,China,Utilities
601998|China,CHINA CITIC BANK CORP LTD A,0.0006841123696970885,China,Financials
601360|China,360 SECURITY TECHNOLOGY INC A,0.0006841123696970885,China,Information Technology
688223|China,JINKO SOLAR LTD A,0.0006461061269361392,China,Information Technology
