period_date,isin,inflow_count,outflow_count,inflow_amount,outflow_amount
2021-01-04,EE3600109393,2428,425,7309848.93,591488.0
2021-01-04,EE3600109427,815,419,5220404.55,1233764.67
2021-01-04,EE3600109443,128,170,1118098.25,569829.28
2021-01-04,EE3600109435,2575,472,20652154.77,1589205.75
2021-01-04,EE3600001699,287,50,1263057.13,186029.08
2021-01-04,EE3600001723,2879,75,13691444.31,29041.05
2021-05-03,EE3600019717,621,393,4862353.17,1296956.9
2021-05-03,EE3600019725,440,2923,1428868.83,22567313.32
2021-05-03,EE3600019733,914,362,7527797.07,1453794.55
2021-05-03,EE3600019741,366,525,2346319.36,3921172.12
2021-05-03,EE3600019758,832,2844,5305563.29,24253198.27
2021-05-03,EE3600019766,1618,2332,7797404.97,11117476.31
2021-05-03,EE3600019774,143,587,1010678.6,3740481.72
2021-05-03,EE3600019782,90,291,764508.32,1196776.73
2021-05-03,EE3600019824,47,520,288312.18,1980977.32
2021-05-03,EE3600019832,1051,4245,7079822.04,30913592.78
2021-05-03,EE3600098430,232,1267,2047193.87,12143602.68
2021-05-03,EE3600098448,54,96,576788.98,810414.01
2021-05-03,EE3600098455,86,258,798615.4,813919.07
2021-05-03,EE3600098612,196,207,1118707.74,996666.15
2021-05-03,EE3600103297,924,1448,5210558.78,7471531.39
2021-05-03,EE3600103503,459,702,2345602.71,4460151.98
2021-05-03,EE3600103248,1948,2685,13744999.29,12504310.01
2021-05-03,EE3600109401,1384,386,9607423.99,1871735.73
2021-05-03,EE3600109393,2903,375,13208000.16,672419.2
2021-05-03,EE3600109427,1580,407,11422947.72,1191046.11
2021-05-03,EE3600109443,199,237,1449500.61,1202633.33
2021-05-03,EE3600109435,3921,539,28460548.69,1972225.44
2021-05-03,EE3600001699,509,79,2965247.72,286765.16
2021-05-03,EE3600001723,3552,361,18130644.59,659247.8
2021-09-01,EE3600001699,373,50,2154456.91,173428.41
2021-09-01,EE3600001723,2700,696,10207999.0,1875004.3
2021-09-01,EE3600001806,308,5,1179819.8,158.63
2021-09-01,EE3600019717,112,282,862017.56,1046254.75
2021-09-01,EE3600019725,272,1888,921555.24,13814717.52
2021-09-01,EE3600019733,171,243,1653023.53,1895363.59
2021-09-01,EE3600019741,209,394,1580509.5,3344262.24
2021-09-01,EE3600019758,581,2016,5101357.98,16727937.8
2021-09-01,EE3600019766,1022,2005,5750764.12,9630707.38
2021-09-01,EE3600019774,115,566,910701.1,4895445.64
2021-09-01,EE3600019782,27,171,184684.2,851025.31
