period_date,isin,inflow_count,outflow_count,inflow_amount,outflow_amount
2025-09-01,EE3600109401,751,755,6916660.63,2692358.51
2025-09-01,EE3600109427,1289,686,12163652.1,3410895.06
2025-09-01,EE3600109435,1694,281,21345874.86,2909548.03
2025-09-01,EE3600109443,69,111,724930.85,1165489.68
2026-01-02,EE3600001699,567,542,5917095.29,5883926.04
2026-01-02,EE3600001806,138,128,1199623.93,215343.71
2026-01-02,EE3600001814,650,436,6146533.24,2821929.15
2026-01-02,EE3600001848,592,132,943591.17,251275.84
2026-01-02,EE3600019717,27,94,357220.9,588691.1
2026-01-02,EE3600019725,129,854,1764061.09,13130078.17
2026-01-02,EE3600019733,63,80,1105513.8,942528.52
2026-01-02,EE3600019741,265,259,3413827.86,4625578.64
2026-01-02,EE3600019758,573,1048,9372703.81,18122100.87
2026-01-02,EE3600019766,604,2130,5821493.26,19699261.53
2026-01-02,EE3600019774,108,352,1116922.02,5025016.48
2026-01-02,EE3600019782,57,54,791548.8,503841.53
2026-01-02,EE3600019832,385,2322,3830926.09,40487469.18
2026-01-02,EE3600098430,376,491,6437407.02,8499933.09
2026-01-02,EE3600098448,92,63,1450559.44,537625.95
2026-01-02,EE3600098455,74,76,1003243.65,392303.76
2026-01-02,EE3600098612,48,75,751053.6,934600.36
2026-01-02,EE3600103248,713,1228,9539394.96,14709336.26
2026-01-02,EE3600103503,3043,2104,36969146.25,22143505.0
2026-01-02,EE3600109393,1832,872,17994151.29,7067790.03
2026-01-02,EE3600109401,1673,789,20144339.0,2643847.4
2026-01-02,EE3600109427,1731,809,20849972.75,4729290.99
2026-01-02,EE3600109435,1557,304,20788652.7,3332106.66
2026-01-02,EE3600109443,46,101,643339.01,1064940.67
